Timestamp,FruitGiven,FruitRecognized
2024-11-13T23:15:41.670247,apple,apple
2024-11-13T23:16:02.777789,orange,orange
2024-11-13T23:16:12.534664,apple,apple
2024-11-13T23:16:39.076266,apple,apple
2024-11-13T23:17:00.502209,pear,orange
2024-11-13T23:17:09.264327,orange,orange
2024-11-13T23:17:44.262710,pear,pear
2024-11-13T23:17:54.304554,pear,pear
2024-11-13T23:18:17.526527,pear,orange
2024-11-13T23:18:30.231836,pear,pear
2024-11-13T23:18:43.172840,pear,orange
2024-11-13T23:18:54.309716,apple,apple
2024-11-13T23:19:08.395777,apple,apple
2024-11-13T23:19:20.848763,pear,orange
2024-11-13T23:19:29.698217,pear,pear
2024-11-13T23:19:44.123616,orange,orange
2024-11-13T23:19:54.409751,apple,apple
2024-11-13T23:20:10.004049,apple,apple
2024-11-13T23:20:21.780880,pear,pear
2024-11-13T23:20:31.155643,orange,orange
2024-11-13T23:20:40.857314,pear,pear
2024-11-13T23:20:55.299400,pear,pear
2024-11-13T23:21:05.460538,orange,orange
2024-11-13T23:21:34.720228,apple,apple
2024-11-13T23:21:55.434725,pear,orange
2024-11-13T23:22:06.607148,apple,apple
2024-11-13T23:22:27.049858,apple,apple
2024-11-13T23:22:46.445268,pear,pear
2024-11-13T23:22:58.207847,orange,orange
2024-11-13T23:23:07.740287,apple,apple
2024-11-13T23:23:36.157805,orange,orange
2024-11-13T23:23:50.269870,orange,orange
2024-11-13T23:24:10.544026,pear,pear
2024-11-13T23:24:23.870596,orange,orange
2024-11-13T23:24:30.502722,apple,apple
2024-11-13T23:24:59.518202,orange,orange
2024-11-13T23:25:09.882687,apple,apple
2024-11-13T23:25:37.707207,apple,apple
2024-11-13T23:25:59.128248,pear,orange
2024-11-13T23:26:09.146572,orange,orange
2024-11-13T23:26:20.608235,apple,apple
2024-11-13T23:26:47.401624,orange,orange
2024-11-13T23:26:57.549229,pear,orange
2024-11-13T23:27:11.696242,apple,apple
2024-11-13T23:27:39.146000,orange,orange
2024-11-13T23:27:49.068275,orange,orange
2024-11-13T23:28:03.073047,pear,pear
2024-11-13T23:28:14.509042,orange,orange
2024-11-13T23:28:31.217640,apple,apple
2024-11-13T23:28:52.263017,orange,orange
2024-11-13T23:29:01.920280,apple,apple
2024-11-13T23:29:29.515034,orange,orange
2024-11-13T23:29:39.818227,orange,orange
2024-11-13T23:29:53.625631,apple,apple
2024-11-13T23:30:22.608549,apple,apple
2024-11-13T23:30:44.360060,orange,orange
2024-11-13T23:30:54.313809,pear,orange
2024-11-13T23:31:06.489631,apple,apple
2024-11-13T23:31:32.462528,apple,apple
2024-11-13T23:31:55.537711,orange,orange
2024-11-13T23:32:02.688854,orange,orange
2024-11-13T23:32:30.909666,apple,apple
2024-11-13T23:32:52.914078,orange,orange
2024-11-13T23:33:02.509821,pear,orange
2024-11-13T23:33:29.919567,orange,orange
2024-11-13T23:33:42.377384,pear,orange
2024-11-13T23:34:07.290682,apple,apple
2024-11-13T23:34:28.723574,apple,apple
2024-11-13T23:34:48.784069,orange,orange
2024-11-13T23:35:03.665493,pear,pear
2024-11-13T23:35:19.764899,apple,apple
2024-11-13T23:35:51.116295,pear,pear
2024-11-13T23:36:01.530599,apple,apple
2024-11-13T23:36:26.482905,orange,orange
2024-11-13T23:36:36.416433,orange,orange
2024-11-13T23:37:01.058184,apple,apple
2024-11-13T23:37:22.075813,apple,apple
2024-11-13T23:37:42.886609,apple,apple
2024-11-13T23:38:04.266393,apple,apple
2024-11-13T23:38:24.041439,pear,pear
2024-11-13T23:38:40.038894,apple,apple
2024-11-13T23:39:01.703060,pear,pear
2024-11-13T23:39:11.660722,pear,orange
2024-11-13T23:39:18.751524,apple,apple
2024-11-13T23:40:15.139774,orange,pear
2024-11-13T23:40:21.669023,orange,orange
2024-11-13T23:40:31.207616,orange,orange
2024-11-13T23:40:48.214763,apple,apple
2024-11-13T23:41:16.184477,orange,orange
2024-11-13T23:41:25.980428,apple,apple
2024-11-13T23:41:53.695510,pear,pear
2024-11-13T23:42:05.351124,pear,pear
2024-11-13T23:42:15.101330,pear,pear
2024-11-13T23:42:41.024350,orange,orange
2024-11-13T23:43:18.707763,pear,pear
2024-11-13T23:43:29.834849,pear,pear
2024-11-13T23:43:37.750507,orange,orange
2024-11-13T23:44:07.486398,apple,apple
2024-11-13T23:44:30.558659,orange,orange
2024-11-13T23:44:40.800775,orange,orange
2024-11-13T23:45:08.686918,apple,apple
2024-11-13T23:45:31.114570,pear,pear
